County,Lat,Long
Aitkin County,46.6,-93.3
Anoka County,45.225,-93.356
Becker County,46.88,-95.65
Beltrami County,47.504,-94.86
Benton County,45.7,-94.03
Big Stone County,45.349,-96.35
Blue Earth County,44.02,-94.05
Brown County,44.242,-94.692
Carlton County,46.59,-92.68
Carver County,44.8,-93.8
Cass County,47.02,-94.313
Chippewa County,45.026,-95.548
Chisago County,45.446694,-92.881926
Clay County,46.909,-96.489
Clearwater County,47.575,-95.36
Cook County,47.927,-90.511
Cottonwood County,44.008,-95.249
Crow Wing County,46.367,-94.182
Dakota County,44.684,-93.138
Dodge County,44.033,-92.88
Douglas County,45.88,-95.438
Faribault County,43.652,-93.975
Fillmore County,43.686,-92.109
Freeborn County,43.68,-93.343
Goodhue County,44.44,-92.729
Grant County,45.975,-95.998
Hennepin County,45,-93.47
Houston County,43.751,-91.502
Hubbard County,47.074,-94.9224
Isanti County,45.556,-93.239
Itasca County,47.296,-93.562
Jackson County,43.662,-95.176
Kanabec County,45.884,-93.301
Kandiyohi County,45.1266,-95.0129
Kittson County,48.745,-96.82
Koochiching County,48.25,-93.783
Lac qui Parle County,45,-96.126
Lake County,47.613,-91.43
Lake of the Woods County,48.7,-94.852
Le Sueur County,44.355,-93.698
Lincoln County,44.359,-96.268
Lyon County,44.44,-95.77
McLeod County,44.88,-94.336
Mahnomen County,47.31,-95.919
Marshall County,48.404,-96.587
Martin County,43.682,-94.54
Meeker County,45.132,-94.496
Mille Lacs County,45.775,-93.65
Morrison County,46.006,-94.359
Mower County,43.668,-92.77
Murray County,43.963,-95.793
Nicollet County,44.34,-94.17
Nobles County,43.629,-95.59
Norman County,47.313,-96.433
Olmsted County,44.004,-92.45
Otter Tail County,46.352,-95.669
Pennington County,48.06,-96.069
Pine County,45.859,-92.927
Pipestone County,43.994,-96.297
Polk County,47.73,-96.598
Pope County,45.601,-95.396
Ramsey County,44.96,-93.085
Red Lake County,47.873,-96.189
Redwood County,44.419,-95.268
Renville County,44.747,-94.958
Rice County,44.32,-93.288
Rock County,43.643,-96.254
Roseau County,48.785,-95.83
Scott County,44.66,-93.506
Sherburne County,45.455,-93.813
Sibley County,44.564,-94.164
St. Louis County,47.56,-92.448
Stearns County,45.542,-94.272
Steele County,44.073,-93.232
Stevens County,45.596,-95.949
Swift County,45.288,-95.611
Todd County,46.069,-94.871
Traverse County,45.731,-96.495
Wabasha County,44.346,-92.161
Wadena County,46.446,-95.074
Waseca County,44.079,-93.56
Washington County,44.962,-92.898
Watonwan County,43.969,-94.619
Wilkin County,46.362,-96.469
Winona County,44.038,-91.682
Wright County,45.199,-93.937
Yellow Medicine County,44.729,-95.68
