Placement,Reporting Ends,Reach,Impressions, Date,CampaignName,AdSetName,AdName,Frequency,LinkClicks,CTR,CPC,WebForms,CostPerWebForms,VideoPlays,VideoPlays50%,VideoPlays100%,Reporting Starts,Media Source,Creative,,,,Random Date
marketplace,2021-10-31,21,18,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,5,4,0,2021-10-31,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
instagram_explore,2021-10-30,8,8,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,1,,,,,0,1,0,2021-10-30,Instagram,Dog Grooming Services,,,,10/30/2021 0:00
instant_article,2021-10-30,10,7,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,5,4,3,2021-10-30,Facebook,Dog Grooming Services,,,,10/26/2021 0:00
marketplace,2021-10-30,11,7,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,2,3,3,2021-10-30,Facebook,Dog Grooming Services,,,,10/28/2021 0:00
facebook_stories,2021-10-30,8,10,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,5,5,5,2021-10-30,Facebook,Dog Grooming Services,,,,10/31/2021 0:00
instream_video,2021-10-30,4,6,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,4,3,4,2021-10-30,Facebook,Dog Grooming Services,,,,10/26/2021 0:00
search,2021-10-30,2,2,10/31/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,2,1,0,2021-10-30,Facebook,Dog Grooming Services,,,,10/31/2021 0:00
instagram_stories,2021-10-31,51,51,11/4/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,3,0,5,2021-10-31,Instagram,Dog Grooming Services,,,,11/4/2021 0:00
facebook_stories,2021-10-31,32,31,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,1,,,,,0,4,2,2021-10-31,Facebook,Dog Grooming Services,,,,11/2/2021 0:00
video_feeds,2021-10-31,17,20,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,5,5,2,2021-10-31,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
instream_video,2021-10-31,14,14,10/29/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,3,3,1,2021-10-31,Facebook,Dog Grooming Services,,,,10/29/2021 0:00
instagram_explore,2021-10-31,6,4,11/4/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,3,0,1,2021-10-31,Instagram,Dog Grooming Services,,,,11/4/2021 0:00
instagram_stories,2021-10-25,48,43,10/27/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,2,,,,,3,4,2,2021-10-25,Instagram,Dog Grooming Services,,,,10/27/2021 0:00
facebook_stories,2021-10-25,10,7,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,3,3,3,2021-10-25,Facebook,Dog Grooming Services,,,,10/30/2021 0:00
marketplace,2021-10-25,7,8,10/28/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,5,1,1,2021-10-25,Facebook,Dog Grooming Services,,,,10/28/2021 0:00
video_feeds,2021-10-25,7,4,10/25/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,4,,,,,2,4,0,2021-10-25,Facebook,Dog Grooming Services,,,,10/25/2021 0:00
instant_article,2021-10-25,6,3,10/20/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,0,0,5,2021-10-25,Facebook,Dog Grooming Services,,,,10/20/2021 0:00
instagram_stories,2021-10-30,10,12,10/30/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,5,,,,,1,4,3,2021-10-30,Instagram,Dog Grooming Services,,,,10/30/2021 0:00
instream_video,2021-10-25,2,5,10/26/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,0,,,,,3,2,2,2021-10-25,Facebook,Dog Grooming Services,,,,10/26/2021 0:00
instagram_explore,2021-10-25,5,3,10/23/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Cooking Static V1,1,3,,,,,4,3,5,2021-10-25,Instagram,Dog Grooming Services,,,,10/23/2021 0:00
facebook_stories,2021-10-28,11,10,11/2/2021 0:00,Lead Gen - On-Main October - December 2021,Zip Code,Heating Static V1,1,0,,,,,1,4,0,2021-10-28,Facebook,Fish,,,,11/2/2021 0:00
